Type, Size, Evals, GPop, Time, GPop_sec, L1, L2, L3, Cache_misses, Misses_GPop
SIMD, 100000, 100, 181800000, 0.063841, 2847699712.000000, 23966155, 24303489, 46, 48269690, 0.265510
SIMD, 100000, 100, 121400000, 0.043697, 2778222848.000000, 16410140, 16651727, 51, 33061918, 0.272339
SIMD, 100000, 100, 220600000, 0.076635, 2878580224.000000, 28822351, 29238321, 12, 58060684, 0.263194
SIMD, 100000, 100, 188400000, 0.065958, 2856363008.000000, 24792190, 25159400, 3, 49951593, 0.265136
SIMD, 100000, 100, 321400000, 0.110500, 2908597248.000000, 41433945, 42034675, 41, 83468661, 0.259703
SIMD, 100000, 100, 219400000, 0.076285, 2876057088.000000, 28670760, 29095353, 12, 57766125, 0.263291
SIMD, 100000, 100, 265000000, 0.091624, 2892255232.000000, 34377809, 34879694, 13, 69257516, 0.261349
SIMD, 100000, 100, 144400000, 0.051220, 2819211264.000000, 19287231, 19569331, 4, 38856566, 0.269090
SIMD, 100000, 100, 186800000, 0.065485, 2852561664.000000, 24592387, 24956083, 0, 49548470, 0.265249
SIMD, 100000, 100, 250800000, 0.086864, 2887271936.000000, 32600975, 33066642, 26, 65667643, 0.261833
SIMD, 100000, 100, 183400000, 0.064225, 2855585792.000000, 24167463, 24502529, 6, 48669998, 0.265376
SIMD, 100000, 100, 206200000, 0.071997, 2864008192.000000, 27020609, 27397164, 6, 54417779, 0.263908
SIMD, 100000, 500, 1073200000, 0.370092, 2899819520.000000, 140503219, 142505741, 28, 283008988, 0.263706
SIMD, 100000, 500, 1207000000, 0.414821, 2909688832.000000, 157246519, 159519308, 12, 316765839, 0.262441
SIMD, 100000, 500, 1077800000, 0.371441, 2901671936.000000, 141077942, 143107402, 10, 284185354, 0.263672
SIMD, 100000, 500, 934400000, 0.323792, 2885803264.000000, 123139949, 124896536, 8, 248036493, 0.265450
SIMD, 100000, 500, 1060400000, 0.365806, 2898804224.000000, 138901108, 140945308, 1546, 279847962, 0.263908
SIMD, 100000, 500, 1117800000, 0.385104, 2902592256.000000, 146082411, 148227763, 11, 294310185, 0.263294
SIMD, 100000, 500, 1007400000, 0.348141, 2893655040.000000, 132271050, 134222888, 13, 266493951, 0.264536
